CHP_ID	Medicinal_properties	Class	x_rank	y_rank
CHP00001	Sweet medicinal	Medicinal flavor	13	19
CHP00001	Bitter medicinal	Medicinal flavor	10	13
CHP00001	Lung meridian	Meridian tropism	5	8
CHP00001	Warm therapeutic	Therapeutic nature	18	6
CHP00002	Bitter medicinal	Medicinal flavor	10	13
CHP00002	Stomach meridian	Meridian tropism	8	3
CHP00002	Lung meridian	Meridian tropism	5	8
CHP00002	Cold therapeutic	Therapeutic nature	6	17
CHP00003	Pungent medicinal	Medicinal flavor	14	4
CHP00003	Bitter medicinal	Medicinal flavor	10	13
CHP00003	Stomach meridian	Meridian tropism	8	3
CHP00003	Spleen meridian	Meridian tropism	19	5
CHP00003	Liver meridian	Meridian tropism	12	7
CHP00003	Warm therapeutic	Therapeutic nature	18	6
CHP00004	Pungent medicinal	Medicinal flavor	14	4
CHP00004	Bitter medicinal	Medicinal flavor	10	13
CHP00004	Warm therapeutic	Therapeutic nature	18	6
CHP00005	Bitter medicinal	Medicinal flavor	10	13
CHP00005	Cold therapeutic	Therapeutic nature	6	17
CHP00006	Bitter medicinal	Medicinal flavor	10	13
CHP00006	Lung meridian	Meridian tropism	5	8
CHP00006	Bladder meridian	Meridian tropism	7	12
CHP00006	Neutral therapeutic	Therapeutic nature	16	15
CHP00007	Bitter medicinal	Medicinal flavor	10	13
CHP00007	Stomach meridian	Meridian tropism	8	3
CHP00007	Lung meridian	Meridian tropism	5	8
CHP00007	Liver meridian	Meridian tropism	12	7
CHP00007	Neutral therapeutic	Therapeutic nature	16	15
CHP00008	Bitter medicinal	Medicinal flavor	10	13
CHP00008	Astringent medicinal	Medicinal flavor	17	18
CHP00008	Cold therapeutic	Therapeutic nature	6	17
CHP00009	Pungent medicinal	Medicinal flavor	14	4
CHP00009	Cold therapeutic	Therapeutic nature	6	17
CHP00010	Bitter medicinal	Medicinal flavor	10	13
CHP00010	Liver meridian	Meridian tropism	12	7
CHP00010	Cold therapeutic	Therapeutic nature	6	17
CHP00011	Pungent medicinal	Medicinal flavor	14	4
CHP00011	Bitter medicinal	Medicinal flavor	10	13
CHP00011	Warm therapeutic	Therapeutic nature	18	6
CHP00012	Pungent medicinal	Medicinal flavor	14	4
CHP00012	Warm therapeutic	Therapeutic nature	18	6
CHP00013	Pungent medicinal	Medicinal flavor	14	4
CHP00013	Bitter medicinal	Medicinal flavor	10	13
