cpm_id	Source	Target	attn_layer_1_avg	attn_layer_2_avg	attn_layer_3_avg
COVID00028	CHP00162	Medicinal flavor	0.022	0.0342	0.0529
COVID00028	CHP00162	Meridian tropism	0.0145	0.0226	0.0321
COVID00028	CHP00162	Therapeutic nature	0.0346	0.0483	0.0774
COVID00028	CHP00361	Medicinal flavor	0.0408	0.0518	0.0519
COVID00028	CHP00361	Meridian tropism	0.0262	0.034	0.0315
COVID00028	CHP00361	Therapeutic nature	0.063	0.0732	0.0759
COVID00028	CHP01007	Medicinal flavor	0.0985	0.06	0.0555
COVID00028	CHP01007	Meridian tropism	0.0669	0.0398	0.0336
COVID00028	CHP01007	Therapeutic nature	0.1694	0.0844	0.0811
COVID00028	CHP01118	Medicinal flavor	0.0437	0.044	0.0541
COVID00028	CHP01118	Meridian tropism	0.0278	0.029	0.0328
COVID00028	CHP01118	Therapeutic nature	0.0654	0.0622	0.0792
COVID00028	CHP01146	Medicinal flavor	0.0411	0.0438	0.0543
COVID00028	CHP01146	Meridian tropism	0.0253	0.0287	0.0329
COVID00028	CHP01146	Therapeutic nature	0.0609	0.0619	0.0794
COVID00028	CHP01185	Medicinal flavor	0.08	0.0542	0.054
COVID00028	CHP01185	Meridian tropism	0.0534	0.0361	0.0327
COVID00028	CHP01185	Therapeutic nature	0.1219	0.0767	0.079
COVID00028	CHP01326	Medicinal flavor	0.0436	0.0431	0.0543
COVID00028	CHP01326	Meridian tropism	0.0284	0.0284	0.0329
COVID00028	CHP01326	Therapeutic nature	0.0688	0.061	0.0794
COVID00028	CHP02017	Medicinal flavor	0.0636	0.0473	0.05
COVID00028	CHP02017	Meridian tropism	0.0437	0.0314	0.0303
COVID00028	CHP02017	Therapeutic nature	0.0963	0.0668	0.0731
COVID00028	CHP02546	Medicinal flavor	0.0209	0.0351	0.0504
COVID00028	CHP02546	Meridian tropism	0.0136	0.0231	0.0306
COVID00028	CHP02546	Therapeutic nature	0.0323	0.0497	0.0737
COVID00028	CHP04795	Medicinal flavor	0.0467	0.039	0.0507
COVID00028	CHP04795	Meridian tropism	0.0322	0.0256	0.0307
COVID00028	CHP04795	Therapeutic nature	0.0663	0.055	0.0741
COVID00028	CHP05679	Medicinal flavor	0.0506	0.0439	0.054
COVID00028	CHP05679	Meridian tropism	0.033	0.0289	0.0327
COVID00028	CHP05679	Therapeutic nature	0.0726	0.062	0.0789
COVID00028	Medicinal flavor	CHP00162	0.174	0.1889	0.1551
