cpm_id	Source	Target	attention
COVID00028	Medicinal flavor	CHP00162	0.048886
COVID00028	Meridian tropism	CHP00162	0.04756
COVID00028	Therapeutic nature	CHP00162	0.048829
COVID00028	CHP00162	CHP00162	0.010935
COVID00028	CHP00361	CHP00162	0.015039
COVID00028	CHP01007	CHP00162	0.0332
COVID00028	CHP01118	CHP00162	0.014537
COVID00028	CHP01146	CHP00162	0.013272
COVID00028	CHP01185	CHP00162	0.027738
COVID00028	CHP01326	CHP00162	0.014786
COVID00028	CHP02017	CHP00162	0.022992
COVID00028	CHP02546	CHP00162	0.007132
COVID00028	CHP04795	CHP00162	0.014821
COVID00028	CHP05679	CHP00162	0.016283
COVID00028	Medicinal flavor	CHP00361	0.049715
COVID00028	Meridian tropism	CHP00361	0.048303
COVID00028	Therapeutic nature	CHP00361	0.049588
COVID00028	CHP00162	CHP00361	0.007579
COVID00028	CHP00361	CHP00361	0.020912
COVID00028	CHP01007	CHP00361	0.032074
COVID00028	CHP01118	CHP00361	0.014074
COVID00028	CHP01146	CHP00361	0.012841
COVID00028	CHP01185	CHP00361	0.026873
COVID00028	CHP01326	CHP00361	0.01431
COVID00028	CHP02017	CHP00361	0.022299
COVID00028	CHP02546	CHP00361	0.006906
COVID00028	CHP04795	CHP00361	0.01433
COVID00028	CHP05679	CHP00361	0.015755
COVID00028	Medicinal flavor	CHP01007	0.041348
COVID00028	Meridian tropism	CHP01007	0.040227
COVID00028	Therapeutic nature	CHP01007	0.041263
COVID00028	CHP00162	CHP01007	0.00627
COVID00028	CHP00361	CHP01007	0.012099
COVID00028	CHP01007	CHP01007	0.033303
COVID00028	CHP01118	CHP01007	0.011626
COVID00028	CHP01146	CHP01007	0.0106
COVID00028	CHP01185	CHP01007	0.02222
COVID00028	CHP01326	CHP01007	0.011816
COVID00028	CHP02017	CHP01007	0.018467
COVID00028	CHP02546	CHP01007	0.005706
COVID00028	CHP04795	CHP01007	0.011818
COVID00028	CHP05679	CHP01007	0.013004
COVID00028	Medicinal flavor	CHP01118	0.041367
COVID00028	Meridian tropism	CHP01118	0.040208
COVID00028	Therapeutic nature	CHP01118	0.041289
COVID00028	CHP00162	CHP01118	0.006368
COVID00028	CHP00361	CHP01118	0.012285
COVID00028	CHP01007	CHP01118	0.026842
COVID00028	CHP01118	CHP01118	0.01572
COVID00028	CHP01146	CHP01118	0.010767
COVID00028	CHP01185	CHP01118	0.022567
COVID00028	CHP01326	CHP01118	0.012002
COVID00028	CHP02017	CHP01118	0.018751
COVID00028	CHP02546	CHP01118	0.005795
COVID00028	CHP04795	CHP01118	0.012005
COVID00028	CHP05679	CHP01118	0.013209
COVID00028	Medicinal flavor	CHP01146	0.041418
COVID00028	Meridian tropism	CHP01146	0.040318
COVID00028	Therapeutic nature	CHP01146	0.041397
COVID00028	CHP00162	CHP01146	0.006369
COVID00028	CHP00361	CHP01146	0.012286
COVID00028	CHP01007	CHP01146	0.02685
COVID00028	CHP01118	CHP01146	0.011811
COVID00028	CHP01146	CHP01146	0.014223
COVID00028	CHP01185	CHP01146	0.022571
COVID00028	CHP01326	CHP01146	0.012005
COVID00028	CHP02017	CHP01146	0.018755
COVID00028	CHP02546	CHP01146	0.005797
COVID00028	CHP04795	CHP01146	0.012008
COVID00028	CHP05679	CHP01146	0.013213
COVID00028	Medicinal flavor	CHP01185	0.048993
COVID00028	Meridian tropism	CHP01185	0.047536
COVID00028	Therapeutic nature	CHP01185	0.048845
COVID00028	CHP00162	CHP01185	0.007618
COVID00028	CHP00361	CHP01185	0.01466
COVID00028	CHP01007	CHP01185	0.032292
COVID00028	CHP01118	CHP01185	0.014154
COVID00028	CHP01146	CHP01185	0.012918
COVID00028	CHP01185	CHP01185	0.037061
COVID00028	CHP01326	CHP01185	0.014393
